Name of the initiative,Instrument Type,Jurisdiction Covered,Region,Income group,2017,2018,2019,2020,2021,2022,2023,2024
Albania Carbon tax,Carbon tax,Albania,Europe & Central Asia,Upper middle income,,,,,,,,13.11135507
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,8.914348161,6.187569488,6.342014552,5.321599371,4.995626444,3.338991266,0.811554266
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,10.12913566,7.030769904,7.206261704,6.457344495,8.568062146,7.585637435,4.393625425
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,9.223898435,6.411426697,6.558683327,5.881756678,7.803341122,6.908182831,4.001163236
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,8.774769659,6.099242403,6.239328834,5.595363003,7.423381925,6.571810557,3.806339154
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,8.774769659,6.099242403,6.239328834,5.243501488,4.918662933,3.285905278,0.798651519
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,,0.635454542,1.296703375,1.739899093,3.081211838,3.409570621,2.369917726
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,,0.611722963,1.241458161,1.670138382,2.953344085,3.269062248,2.27179483
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,,0.61239805,1.242290924,1.669252826,2.953182997,3.269188267,2.271481174
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,8.034347051,5.576748829,5.71594748,5.121912514,6.796116385,6.016865188,3.48498753
Australia CPM,ETS,Australia,East Asia & Pacific,High income,,,,,,,,
Australia Safeguard Mechanism,ETS,Australia,East Asia & Pacific,High income,,,,,,,,21.90375
Austria ETS,ETS,Austria,Europe & Central Asia,High income,,,,,,,35.34375,48.3705
Baja California carbon tax,Carbon tax,Baja California,Latin America & Caribbean,Upper middle income,,,,,8.31702544,,,
Beijing pilot ETS,ETS,Beijing,East Asia & Pacific,Upper middle income,7.396583184,9.440402552,10.40228678,12.20422052,4.323279666,6.527961251,12.95770547,14.51218332
California CaT,ETS,California,North America,High income,15.08,15.1,15.77,15.3,17.94,30.82,29.84,38.59
Canada federal fuel charge,Carbon tax,Canada,North America,High income,,,14.99586332,21.10149663,31.8344608,39.96163683,48.03073967,58.94488653
Chile carbon tax,Carbon tax,Chile,Latin America & Caribbean,High income,5,5,5,5,5,5,5,5
China national ETS,ETS,China,East Asia & Pacific,Upper middle income,,,,,,9.199849028,8.15316299,12.57307921
Chongqing pilot ETS,ETS,Chongqing,East Asia & Pacific,Upper middle income,0.220576936,3.820736277,0.551252665,5.305387215,3.714581368,5.661445556,4.65895028,5.988694318
Colombia carbon tax,Carbon tax,Colombia,Latin America & Caribbean,Upper middle income,5.207904198,5.67041516,5.172634562,4.244865787,0.001338004,5.013271992,5.055810445,6.678546744
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,High income,24.7801806,28.8180698,26.38878418,25.93302537,28.14081443,26.62427385,26.52864568,28.20494343
Durango carbon tax,Carbon tax,Durango,Latin America & Caribbean,Upper middle income,,,,,,,,6.035986552
Estonia carbon tax,Carbon tax,Estonia,Europe & Central Asia,High income,2.138202734,2.47959911,2.247198716,2.18720061,2.349200001,2.2104,2.175,2.1498
EU ETS,ETS,EU,Europe & Central Asia,High income,5.644855218,16.36535412,24.505702,18.53652517,49.77954802,86.526108,96.298125,61.301547
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,62.00787929,90.5053675,86.51715058,84.20722348,90.44420003,85.1004,83.7375,99.98486304
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,66.28428476,65.70937641,59.55076598,57.96081616,62.25380002,58.5756,57.6375,65.09700944
France carbon tax,Carbon tax,France,Europe & Central Asia,High income,32.6075917,55.29506015,50.11253137,48.7745736,52.38716002,49.29192,48.5025,47.94054
Fujian pilot ETS,ETS,Fujian,East Asia & Pacific,Upper middle income,5.180655674,3.183946898,1.51966951,1.280950482,1.246309767,1.825816192,4.65895028,3.746907523
Germany ETS,ETS,Germany,Europe & Central Asia,High income,,,,,29.36500001,33.156,32.625,48.3705
Guanajuato carbon tax,Carbon tax,Guanajuato,Latin America & Caribbean,Upper middle income,,,,,,,,2.716193948
Guangdong pilot ETS,ETS,Guangdong (except Shenzhen),East Asia & Pacific,Upper middle income,1.883610942,2.322689262,2.920149254,4.131417213,5.715677025,12.51022205,12.34185048,8.939504927
Hubei pilot ETS,ETS,Hubei,East Asia & Pacific,Upper middle income,1.782029459,2.324281235,4.126945629,3.566954418,4.41154092,7.240359816,6.962218825,5.618288115
Hungary Carbon tax,Carbon tax,Hungary,Europe & Central Asia,High income,,,,,,,,38.6964
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,21.1909866,36.67678942,35.47428355,30.74379989,35.36209385,35.61275839,36.10866608,36.50816385
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,22.6559166,39.21225085,37.94035744,32.88102367,37.77994261,38.00897222,38.53306018,38.95731882
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,20.81187673,36.02063627,34.82581815,30.18180713,34.75635159,35.04173245,35.61710054,36.01403609
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,21.91371564,38.00923429,36.70781868,31.58722052,32.53441984,36.83866316,37.40412684,37.81151533
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,,,,,,,,
