Name of the initiative,Instrument Type,Jurisdiction Covered,Region,Income group,2017,2018,2019,2020,2021,2022,2023,2024
Albania Carbon tax,Carbon tax,Albania,Europe & Central Asia,Upper middle income,,,,,,,,13.111355068777609
Alberta carbon tax,Carbon tax,Alberta,North America,High income,15.026357172916342,23.25220494029061,22.493794976012794,,,,,
Alberta TIER,ETS,Alberta,North America,High income,22.539535759374512,23.25220494029061,22.493794976012794,21.10149662688683,31.834460803820136,39.9616368286445,48.030739673390975,58.94488653109343
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,8.91434816078319,6.187569488166416,6.342014551609308,5.321599371354527,4.995626443680344,3.338991265685532,0.8115542659391076
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,10.129135662169134,7.03076990423825,7.206261703722547,6.457344495436178,8.56806214601272,7.585637434949787,4.39362542496994
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,9.223898434628982,6.411426696811843,6.5586833269123925,5.881756678093231,7.803341121683639,6.908182831434116,4.001163236306331
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,8.774769659105623,6.09924240270836,6.23932883352349,5.595363002633749,7.423381924624916,6.571810556938415,3.8063391543059497
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,8.774769659105623,6.09924240270836,6.23932883352349,5.2435014877722965,4.918662932847035,3.2859052784692073,0.7986515189838377
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,,0.6354545415984341,1.2967033750818908,1.7398990932199263,3.081211837679164,3.40957062149637,2.3699177256660873
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,,0.6117229630352767,1.2414581610007007,1.6701383820292142,2.953344085351644,3.2690622484283463,2.2717948303924875
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,,0.6123980503535068,1.2422909237758581,1.6692528258097452,2.953182997486229,3.2691882667740577,2.2714811737040113
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,8.034347050881905,5.576748829272676,5.715947480437615,5.1219125139376445,6.7961163845098,6.01686518842584,3.4849875303405295
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,,8.034347050881905,5.576748829272676,5.715947480437615,5.1219125139376445,6.7961163845098,6.01686518842584,3.4849875303405295
Australia CPM,ETS,Australia,East Asia & Pacific,High income,,,,,,,,
Australia Safeguard Mechanism,ETS,Australia,East Asia & Pacific,High income,,,,,,,,21.903750000000002
Austria ETS,ETS,Austria,Europe & Central Asia,High income,,,,,,,35.34374999999999,48.3705
Baja California carbon tax,Carbon tax,Baja California,Latin America & Caribbean,Upper middle income,,,,,8.317025440313111,,,
BC carbon tax,Carbon tax,British Columbia,North America,High income,22.539535759374512,27.127572430339043,29.991726634683722,28.13532883584911,35.813768404297655,39.9616368286445,48.030739673390975,58.94488653109343
BC OBPS,ETS,British Columbia,North America,High income,,,,,19.896538002387587,19.98081841432225,18.47336141284268,58.94488653109343
Beijing pilot ETS,ETS,Beijing,East Asia & Pacific,Upper middle income,7.396583184314999,9.440402551915028,10.402286780383795,12.204220523334513,4.323279666433333,6.527961250550418,12.957705466986969,14.512183323428193
California CaT,ETS,California,North America,High income,15.08,15.1,15.77,15.3,17.94,30.82,29.84,38.59
Canada federal fuel charge,Carbon tax,Canada,North America,High income,,,14.995863317341861,21.10149662688683,31.834460803820136,39.9616368286445,48.030739673390975,58.94488653109343
Canada federal OBPS,ETS,Canada,North America,High income,,,,,31.834460803820136,39.9616368286445,48.030739673390975,58.94488653109343
Chile carbon tax,Carbon tax,Chile,Latin America & Caribbean,High income,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
China national ETS,ETS,China,East Asia & Pacific,Upper middle income,,,,,,9.199849028118514,8.153162990463711,12.573079208878692
Chongqing pilot ETS,ETS,Chongqing,East Asia & Pacific,Upper middle income,0.2205769362401177,3.8207362773349187,0.5512526652452027,5.305387214815199,3.7145813677450774,5.661445555765239,4.658950280264977,5.9886943181347005
Colombia carbon tax,Carbon tax,Colombia,Latin America & Caribbean,Upper middle income,5.207904197745678,5.6704151599028085,5.172634561567164,4.244865787112099,0.0013380038588031288,5.013271991970245,5.055810445467845,6.6785467441529365
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,High income,24.78018059628129,28.818069797237317,26.388784176217126,25.93302536630274,28.140814428276396,26.62427384967388,26.528645681247443,28.204943431577426
Durango carbon tax,Carbon tax,Durango,Latin America & Caribbean,Upper middle income,,,,,,,,6.035986551821963
Estonia carbon tax,Carbon tax,Estonia,Europe & Central Asia,High income,2.1382027341133827,2.4795991097157297,2.247198716240227,2.1872006097419385,2.3492000008475915,2.2104,2.175,2.1498
EU ETS,ETS,EU,Europe & Central Asia,High income,5.64485521805933,16.365354124123815,24.505702000599676,18.53652516756293,49.779548017960465,86.526108,96.29812499999998,61.301547
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,62.0078792892881,90.50536750462413,86.51715057524875,84.20722347506464,90.44420003263227,85.1004,83.7375,99.98486304394962
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,66.28428475751487,65.70937640746683,59.55076598036602,57.96081615816138,62.25380002246117,58.575599999999994,57.637499999999996,65.09700943999214
France carbon tax,Carbon tax,France,Europe & Central Asia,High income,32.60759169522909,55.295060146660774,50.11253137215707,48.77457359724524,52.38716001890129,49.29192,48.5025,47.94054
Fujian pilot ETS,ETS,Fujian,East Asia & Pacific,Upper middle income,5.180655673534344,3.1839468977790992,1.5196695095948827,1.280950481687936,1.2463097665642024,1.8258161917342894,4.658950280264977,3.7469075228394124
Germany ETS,ETS,Germany,Europe & Central Asia,High income,,,,,29.36500001059489,33.156,32.625,48.3705
Guanajuato carbon tax,Carbon tax,Guanajuato,Latin America & Caribbean,Upper middle income,,,,,,,,2.716193948319883
Guangdong pilot ETS,ETS,Guangdong (except Shenzhen),East Asia & Pacific,Upper middle income,1.8836109423662684,2.322689261929853,2.920149253731344,4.131417212916586,5.715677024682717,12.510222054475687,12.341850476814441,8.939504927231768
Hubei pilot ETS,ETS,Hubei,East Asia & Pacific,Upper middle income,1.782029458571477,2.3242812353787423,4.126945628997868,3.5669544182387143,4.411540919743129,7.240359816317545,6.962218825070976,5.6182881152129145
Hungary Carbon tax,Carbon tax,Hungary,Europe & Central Asia,High income,,,,,,,,38.6964
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,21.190986596202958,36.67678942325404,35.474283550306936,30.743799892219336,35.362093850068334,35.61275839012421,36.10866608490465,36.508163849899745
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,22.65591659575338,39.21225085018664,37.94035743852859,32.88102366536184,37.77994261259058,38.008972221667264,38.533060178324575,38.957318819822405
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,20.811876733489676,36.020636273428295,34.82581815185056,30.181807134313487,34.75635159141584,35.041732447879234,35.61710053758785,36.01403609281009
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,21.913715641959627,38.00923428991697,36.7078186753491,31.587220523723122,32.53441984137434,36.838663159084305,37.40412684426335,37.811515325121746
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,,,,,,,,
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,,,,3.094360121831493,3.4723813730351525,3.413733586768915,3.216224178544182,3.1409087025785603
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,,,,17.637852694439513,19.792573826300373,19.458281444582816,18.33247781770184,17.903179604697797
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,,,,17.322891039181663,19.43913500797358,19.110812133072407,18.005112142385734,17.58347996889962
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,,,,5.782902522767052,6.489368467639466,6.3797644080599385,6.0106484648202745,5.869894952359933
Indonesia ETS,ETS,Indonesia,East Asia & Pacific,Upper middle income,,,,,,,,0.6121651813731643
Ireland carbon tax,Carbon tax,Ireland,Europe & Central Asia,High income,21.382027341133828,24.795991097157298,22.47198716240227,28.433607926645205,39.349100014197155,45.313199999999995,52.74374999999999,60.194399999999995
Japan carbon tax,Carbon tax,Japan,East Asia & Pacific,High income,2.5792064327293054,2.7398539368259645,2.601727731321073,2.686373292101083,2.6085386767758822,2.364975450081833,2.1651183697932277,1.905075807514832
Kazakhstan ETS,ETS,Kazakhstan,Europe & Central Asia,Upper middle income,,,,1.1124513182959728,1.1767751653369107,1.0808260599172224,1.1248744559758954,1.0592081691150126
Korea ETS,ETS,"Korea, Rep.",East Asia & Pacific,High income,18.233136663188894,20.518557063169663,23.457441100857324,32.78690584650184,15.89263641179587,18.749483769719998,11.236385948765149,6.3024274367159085
Latvia carbon tax,Carbon tax,Latvia,Europe & Central Asia,High income,4.810956151755111,5.579097996860392,5.056197111540511,9.842402743838724,14.095200005085548,16.578,16.3125,16.1235
Liechtenstein carbon tax,Carbon tax,Liechtenstein,Europe & Central Asia,High income,83.91650714180533,100.90387466056818,96.46308635394456,99.44064918940109,101.47455208498495,129.85607618223136,130.81157682454898,132.12221304706853
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,,,,,40.12433601447685,43.345943999999996,45.00075,49.907607
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,,,,,40.12433601447685,40.17402,48.111,52.960323
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,,,,,,,,
Massachusetts ETS,ETS,Massachusetts,North America,High income,,,,8.198567,6.5,0.5,12.05,2.25
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.645350138886415,2.9025655305046283,2.888935847987386,2.334347127239909,2.8902229368216728,3.196554986021443,3.78965238521885,4.3051447885494225
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.6188966374975506,2.8735398751995818,2.860046489507512,2.3110036559675096,2.8613207074534555,3.1645894361612283,3.7517558613666604,4.262093340663928
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.8501839156442736,3.1254809581869374,3.1105996439891195,2.512821243304692,3.1111938888748245,3.440949676597706,4.079374332705567,4.6342686319236694
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.751159802671074,3.0182834400379326,3.0058006065763174,2.4286049423787217,3.006918806093392,3.3256156612104464,3.9426622419301727,4.4789567131069505
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.778748273837736,3.048069892820852,3.0340984388499574,2.451332564437389,3.0350708119075804,3.356754068588977,3.979561959738294,4.5208809784221815
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.1577158302878083,2.366508463550834,2.3571567441142216,1.905533432721633,23.59300442424907,2.609357410792663,3.0934832704187376,3.5142684875890717
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.7991190307924936,3.070998104234735,3.056385143488624,2.469555078212834,3.057613473005969,3.3816753152766146,4.009089229358358,0.4554402089871383
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,0.2879531439023329,0.3159114317973954,0.3144831851239715,0.25409650681989787,0.31460453841908,0.34794922368886866,0.4125085047999951,0.4686192333127979
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,0.8019356219413496,0.8797396072886144,0.8758358624482722,0.7075602218585129,0.8760513423029606,0.968905879782711,1.1486781347867607,1.3049281078691526
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,0.6600710801559551,0.7240971126613044,0.7208600476203844,0.5823350649060346,0.7210062756563271,0.7974268267312953,0.9453841579992294,1.0739801382701428
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2.328746544483525,2.5543324106909906,2.5430738189632196,2.0545674014803725,2.543820939334638,2.813442388324464,3.3354543690934793,3.789162989744859
Mexico pilot ETS,ETS,Mexico,Latin America & Caribbean,Upper middle income,,,,,0.0,0.0,0.0,0.0
Montenegro ETS,ETS,Montenegro,Europe & Central Asia,Upper middle income,,,,,,,,25.7976
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,,,,,35.23800001271387,46.1421,60.83474999999999,71.48084999999999
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,,,,,,,17.834999999999997,19.3482
New Brunswick carbon tax,Carbon tax,New Brunswick,North America,High income,,,,21.10149662688683,31.834460803820136,39.9616368286445,48.030739673390975,
New Brunswick OBPS,ETS,New Brunswick,North America,High income,,,,,,39.9616368286445,48.030739673390975,58.94488653109343
New Zealand ETS,ETS,New Zealand,East Asia & Pacific,High income,12.513906278177085,15.224357393455215,17.532541255774696,14.304,25.75989,52.622400000000006,34.19875,35.105
Newfoundland and Labrador carbon tax,Carbon tax,Newfoundland and Labrador,North America,High income,,,14.995863317341861,14.067664417924554,23.875845602865102,39.9616368286445,48.030739673390975,
Newfoundland and Labrador PSS,ETS,Newfoundland and Labrador,North America,High income,,,,,23.875845602865102,39.9616368286445,48.030739673390975,58.94488653109343
Northwest Territories carbon tax,Carbon tax,Northwest Territories,North America,High income,,,,14.067664417924554,23.875845602865102,31.9693094629156,48.030739673390975,58.94488653109343
