Entity,Code,Year,Renewables (% equivalent primary energy)
World,OWID_WRL,1965,6.4545183
World,OWID_WRL,1966,6.5335774
World,OWID_WRL,1967,6.435174
World,OWID_WRL,1968,6.397144
World,OWID_WRL,1969,6.346678
World,OWID_WRL,1970,6.2576427
World,OWID_WRL,1971,6.2873034
World,OWID_WRL,1972,6.251033
World,OWID_WRL,1973,5.9974813
World,OWID_WRL,1974,6.540394
World,OWID_WRL,1975,6.587483
World,OWID_WRL,1976,6.2476835
World,OWID_WRL,1977,6.237358
World,OWID_WRL,1978,6.489273
World,OWID_WRL,1979,6.596381
World,OWID_WRL,1980,6.8060145
World,OWID_WRL,1981,6.9877205
World,OWID_WRL,1982,7.1932316
World,OWID_WRL,1983,7.406497
World,OWID_WRL,1984,7.3390236
World,OWID_WRL,1985,7.3102527
World,OWID_WRL,1986,7.285367
World,OWID_WRL,1987,7.1527147
World,OWID_WRL,1988,7.114733
World,OWID_WRL,1989,6.9900603
World,OWID_WRL,1990,7.1784005
World,OWID_WRL,1991,7.305675
World,OWID_WRL,1992,7.2868786
World,OWID_WRL,1993,7.6548657
World,OWID_WRL,1994,7.6321387
World,OWID_WRL,1995,7.866311
World,OWID_WRL,1996,7.751967
World,OWID_WRL,1997,7.842729
World,OWID_WRL,1998,7.8813725
World,OWID_WRL,1999,7.840555
World,OWID_WRL,2000,7.817928
World,OWID_WRL,2001,7.552363
World,OWID_WRL,2002,7.5717835
World,OWID_WRL,2003,7.3357315
World,OWID_WRL,2004,7.5255384
World,OWID_WRL,2005,7.586022
World,OWID_WRL,2006,7.724513
World,OWID_WRL,2007,7.762623
World,OWID_WRL,2008,8.257497
World,OWID_WRL,2009,8.570196
World,OWID_WRL,2010,8.807657
World,OWID_WRL,2011,8.989022
World,OWID_WRL,2012,9.423264
World,OWID_WRL,2013,9.855674
World,OWID_WRL,2014,10.222232
World,OWID_WRL,2015,10.498747
World,OWID_WRL,2016,10.930195
World,OWID_WRL,2017,11.355979
World,OWID_WRL,2018,11.741059
World,OWID_WRL,2019,12.2379875
World,OWID_WRL,2020,13.455194
World,OWID_WRL,2021,13.470907
World,WORLD,2023,14.6
